id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,categoria_palabra
455,"tribunal",4.00,1.27,4.90,2.06,1
456,"turista",6.06,1.32,4.06,2.16,1
457,"turno",4.92,0.74,3.66,2.05,1
458,"turquesa",6.19,1.51,3.47,1.77,1
459,"unión",7.06,1.23,4.36,2.19,1
460,"valor",7.06,1.21,4.91,2.01,1
461,"vanidad",3.07,1.40,5.09,2.06,1
462,"vapor",4.99,0.91,2.98,1.75,1
463,"vegetación",6.50,1.16,3.43,1.87,1
464,"vejez",4.48,2.09,4.76,2.11,1
465,"velocidad",5.79,1.65,6.66,1.66,1
466,"ventana",5.60,1.17,3.73,1.82,1
467,"verdura",5.66,1.74,3.42,1.91,1
468,"versión",5.06,0.95,3.52,1.74,1
469,"vestíbulo",5.04,0.87,3.02,1.85,1
470,"vestido",5.92,1.36,3.74,2.10,1
471,"viejo",4.74,1.96,5.11,1.93,3
472,"virgen",5.20,1.47,3.83,1.94,1
473,"visita",6.46,1.28,4.86,1.96,1
474,"viudo",2.67,1.37,4.62,2.09,1
475,"vivienda",6.34,1.36,4.02,1.94,1
476,"vocablo",5.08,0.77,3.01,1.83,1
477,"voluptuosidad",5.09,1.35,4.03,2.00,1
478,"voz",6.08,1.30,3.97,1.96,1
