id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
533,"ciclón",618,543.57,4.76,1
534,"ciego",496,494.91,3.11,3
535,"cielo",494,496.38,2.00,1
536,"científico",548,549.83,4.36,3
537,"ciervo",523,503.42,2.29,1
538,"cifra",584,518.23,3.48,1
539,"cigarro",536,541.43,3.88,1
540,"cilindro",594,551.40,4.68,1
541,"cima",538,535.54,3.40,1
542,"cinc",627,537.04,5.71,1
543,"cine",457,500.61,2.96,1
544,"cinta",530,493.87,2.81,1
545,"cintura",530,522.62,3.20,1
546,"cinturón",531,532.77,2.77,1
547,"circo",514,522.57,1.89,1
548,"circuito",539,573.79,3.96,1
549,"círculo",556,524.06,2.26,1
550,"cisne",599,512.34,2.77,1
551,"cisterna",635,571.79,3.76,1
552,"citar",551,524.79,4.96,1
553,"ciudad",487,496.02,2.55,1
554,"civil",521,513.79,4.88,1
555,"clamor",571,511.22,5.85,1
556,"clan",554,503.19,4.80,1
557,"claro",496,491.85,2.88,3
558,"clase",507,486.73,2.48,1
559,"clasificar",534,499.59,4.36,1
560,"claustro",561,514.16,6.08,1
561,"clave",512,501.28,3.94,1
562,"clavel",510,501.00,3.76,1
563,"clavo",500,480.60,3.00,1
564,"clero",533,530.63,5.65,1
565,"clientela",700,583.15,4.92,1
566,"clima",536,521.02,4.48,1
567,"cloro",504,514.31,4.36,1
568,"club",500,506.80,4.12,1
569,"cobertizo",596,533.16,4.80,1
570,"cobijo",590,540.18,4.76,1
571,"cobrar",520,518.82,4.08,1
572,"coche",523,489.94,1.65,1
573,"cocina",504,475.56,1.61,1
574,"código",499,528.98,4.64,1
575,"codo",514,506.62,2.16,1
576,"coger",502,480.69,2.16,2
577,"cogote",602,539.41,4.36,1
578,"coherencia",618,573.29,5.71,1
579,"cohesión",572,545.92,6.37,1
580,"cohete",552,519.78,3.00,1
581,"cojín",523,479.30,2.56,1
582,"cola",500,483.45,2.31,1
583,"colaborar",559,535.74,4.12,1
584,"colcha",561,541.84,3.77,1
585,"colección",536,513.16,3.32,1
586,"colectivo",549,538.76,5.00,1
587,"colega",506,508.16,4.40,1
588,"cólera",554,502.84,5.32,1
589,"colina",558,499.12,3.96,1
590,"colisión",576,534.34,5.20,1
591,"collar",513,489.12,2.42,1
592,"colmo",535,513.17,5.14,1
593,"colocar",507,524.33,3.36,2
594,"coloquio",559,523.62,6.00,1
595,"color",490,520.35,2.32,1
596,"combatir",564,519.13,4.60,1
597,"combustión",582,548.75,5.48,1
598,"comentar",518,531.19,4.20,2
599,"comenzar",518,510.19,3.56,1
600,"comer",490,488.60,1.68,2
601,"comercio",519,518.47,4.56,1
602,"cometa",503,519.86,2.65,1
603,"cómico",527,506.75,3.92,1
604,"comisario",532,523.08,4.48,1
605,"comité",544,507.98,5.92,1
606,"comitiva",565,554.79,6.37,1
607,"cómoda",505,520.09,4.16,1
608,"compadre",634,570.44,6.28,1
609,"comparar",517,553.70,4.48,1
610,"compartir",543,525.80,3.04,1
611,"compasión",517,518.81,4.84,1
612,"compensar",579,510.62,4.80,1
613,"competir",514,511.21,3.60,1
614,"complacer",524,515.30,4.80,1
615,"cómplice",573,517.67,4.84,1
616,"componer",540,527.58,5.04,1
617,"compostura",600,547.41,5.16,1
618,"comprobar",541,518.04,4.12,1
619,"compromiso",555,542.69,4.37,1
620,"compuesto",528,528.08,4.16,1
621,"comulgar",625,560.10,4.40,1
622,"comunicar",510,527.75,4.36,2
623,"comunidad",541,525.04,4.32,1
624,"comunión",526,522.32,3.64,1
625,"concebir",582,533.66,5.12,1
626,"conceder",567,558.18,5.20,1
627,"concepto",549,523.06,4.43,1
628,"conciencia",569,554.43,4.70,1
629,"concluir",543,524.11,5.32,1
630,"concordia",606,574.06,5.97,1
631,"concurso",548,526.73,3.72,1
632,"condenar",552,561.02,5.00,2
633,"condición",546,541.60,4.58,1
634,"conducir",504,515.63,2.96,2
635,"conducta",532,527.64,4.51,1
636,"conductor",518,539.27,3.49,1
637,"conectar",533,531.85,5.12,1
638,"conejo",518,486.29,2.02,1
639,"confesar",508,520.35,4.20,1
640,"confesión",562,509.15,4.50,1
641,"confidente",618,550.50,5.08,1
642,"configurar",540,547.12,4.92,1
643,"confirmar",524,527.65,5.24,2
644,"conflicto",565,528.15,4.73,1
645,"confundir",518,500.33,3.24,2
646,"congreso",543,531.98,6.12,1
647,"conjetura",602,544.78,6.34,1
648,"conjunción",569,548.55,4.82,0
649,"conjunto",499,491.31,4.28,3
650,"conmoción",648,587.81,5.71,1
651,"cono",533,513.79,3.96,1
652,"conocer",506,506.02,2.56,2
653,"conquistar",529,530.02,4.44,1
654,"consejo",544,490.00,4.20,1
655,"consenso",618,539.50,5.71,1
656,"conserje",609,554.04,4.28,1
657,"conserva",508,526.98,4.44,1
658,"conservar",535,527.91,4.40,2
659,"considerar",542,512.63,4.72,2
660,"constatar",568,526.57,6.00,1
661,"constituir",544,537.04,5.52,1
662,"construir",509,511.24,3.64,1
663,"cónsul",602,519.42,5.77,1
664,"consumir",520,533.68,4.60,1
665,"contagio",576,541.89,4.11,1
666,"contar",538,494.59,2.44,1
667,"contemplar",558,509.77,4.52,1
668,"contener",525,511.08,3.92,1
669,"contestar",518,510.65,2.80,1
670,"contexto",524,517.83,5.39,1
671,"continuar",512,529.00,3.28,2
672,"contribuir",592,523.78,5.12,1
673,"controlar",541,524.73,3.64,1
674,"convencer",545,539.52,3.96,1
675,"convención",578,518.44,5.92,1
676,"convento",532,519.11,4.85,1
677,"conversar",510,534.14,4.24,1
678,"conversión",541,531.78,5.46,1
