id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
159,"cañón",2.74,1.65,6.04,2.09,3.51,2.22,"cannon",1
160,"caos",2.00,1.67,7.02,2.03,2.60,2.10,"chaos",1
161,"capaz",7.52,1.08,5.92,2.34,6.70,1.84,"capable",1
162,"capricho",5.92,2.28,6.21,1.72,5.42,2.23,"infatuation",1
163,"cara",6.02,1.54,5.11,1.73,5.03,1.99,"face",1
164,"caramelo",7.33,1.32,4.41,2.23,6.11,1.90,"candy",1
165,"cárcel",1.87,1.22,5.18,2.22,3.41,2.33,"jail",1
166,"caricia",8.27,0.92,6.04,2.82,6.68,1.81,"caress",1
167,"cariñoso",8.41,0.86,6.21,2.61,6.09,2.04,"cuddle",1
168,"carretera",5.00,1.95,5.60,1.84,4.82,1.99,"highway",1
169,"carro",4.53,1.42,4.18,1.70,5.26,1.67,"wagon",1
170,"carroña",2.08,1.48,5.09,2.01,4.52,1.89,"carcass",1
171,"carta",6.79,1.73,5.99,2.20,5.72,1.93,"letter",1
172,"casa",7.03,1.79,4.69,2.42,6.12,2.35,"house",1
173,"cascada",7.20,1.77,5.20,2.52,4.68,2.43,"waterfall",1
174,"casino",4.84,2.09,4.80,2.35,4.30,2.31,"casino",1
175,"casita",6.69,1.71,4.50,2.07,5.84,1.76,"cottage",1
176,"castigo",1.87,1.10,6.41,1.97,3.72,2.28,"punishment",1
177,"celos",2.27,1.56,6.87,2.33,3.10,2.11,"jealousy",1
178,"célula",4.91,1.65,4.39,1.85,4.37,2.02,"cell",1
179,"cementerio",2.06,1.62,5.01,2.59,3.19,2.48,"cemetery",1
180,"cena",6.58,1.79,5.14,2.20,5.81,2.02,"dinner",1
181,"cerdo",3.71,1.90,4.67,1.93,4.52,1.89,"pig",1
182,"césped",6.31,1.56,4.03,1.97,5.81,1.91,"lawn",1
183,"cesta",5.18,1.65,3.79,1.78,5.82,1.89,"basket",1
184,"chaleco",4.92,1.27,4.30,1.40,5.36,1.82,"vest",1
185,"champiñón",4.88,1.92,4.23,1.98,5.11,2.04,"mushroom",1
186,"chantaje",2.13,1.68,5.92,2.33,3.76,2.24,"blackmail",1
187,"chica",5.97,1.76,4.92,1.89,5.10,1.54,"girl",1
188,"chico",7.13,1.62,6.54,1.76,5.42,1.92,"boy",1
189,"chiflado",4.03,2.09,5.59,1.89,3.31,2.00,"madman",1
190,"chillido",2.78,1.75,6.78,1.92,4.58,2.15,"shriek",1
191,"chiste",7.20,1.52,5.97,2.16,5.59,2.16,"joke",1
192,"chocolate",7.72,1.54,6.10,2.33,5.84,2.41,"chocolate",1
193,"choque",2.01,1.14,6.93,1.89,3.14,1.99,"crash",1
194,"cicatriz",3.01,1.96,5.01,2.33,3.88,2.28,"scar",1
195,"ciclón",2.13,1.45,6.34,2.20,2.04,1.80,"cyclone",1
196,"ciego",2.41,1.80,5.21,1.91,3.24,2.06,"blind",1
197,"cielo",7.56,1.48,4.56,2.42,4.48,2.64,"heaven",1
198,"ciempiés",4.12,2.08,4.88,2.04,4.26,1.92,"roach",1
