id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1182,"inmoral","immoral",1.23,0.68,3.07,1.44,2.83,1.37,2.10,1.45,2.53,1.57,1
1183,"innovación","innovation",3.60,1.04,1.07,0.25,1.30,0.70,1.93,1.05,1.03,0.18,1
1184,"inocente","innocent",2.10,1.45,1.10,0.40,1.40,0.93,1.30,0.70,1.03,0.18,1
1185,"inodoro","odorless",1.47,1.01,1.03,0.18,1.03,0.18,1.10,0.31,2.73,1.14,1
1186,"inquieto","troubled",1.90,1.12,1.63,0.76,1.57,0.86,1.67,1.09,1.27,0.58,1
1187,"insecto","insect",1.70,1.12,1.40,0.93,1.27,0.83,2.37,1.27,2.93,1.44,1
1188,"inseguridad","insecurity",1.07,0.25,2.63,1.45,3.50,1.20,3.83,1.15,2.20,1.52,1
1189,"inseguro","insecure",1.10,0.31,1.97,1.27,3.00,1.11,3.20,1.47,1.27,0.52,1
1190,"insolente","insolent",1.16,0.47,3.24,1.09,2.20,1.26,1.48,0.82,2.92,1.38,1
1191,"insomnio","insomnia",1.00,0.00,3.20,1.37,3.23,1.36,2.40,1.43,1.80,1.32,1
1192,"inspiración","inspiration",3.87,1.04,1.33,0.92,1.57,0.94,1.47,1.07,1.03,0.18,1
1193,"inspirado","inspired",3.63,1.10,1.33,0.66,1.47,1.01,1.30,0.65,1.17,0.53,1
1194,"inspirar","inspire",3.20,1.47,1.17,0.53,1.33,0.80,1.40,0.97,1.20,0.66,2
1195,"instancia","instance",1.37,0.67,1.20,0.61,1.13,0.35,1.37,0.76,1.23,0.43,1
1196,"instante","instant",2.33,1.32,1.13,0.35,1.30,0.53,1.37,0.61,1.00,0.00,1
1197,"institución","institution",1.33,0.55,2.20,1.32,1.77,1.22,2.03,1.16,2.10,1.35,1
1198,"instituto","institute",2.93,1.20,1.40,0.72,2.20,0.96,1.27,0.58,1.40,0.77,1
1199,"insulto","insult",1.07,0.25,4.00,1.08,3.17,1.37,2.57,1.36,3.00,1.41,1
1200,"intelecto","intellect",3.28,1.10,1.07,0.37,1.14,0.44,1.34,0.67,1.07,0.37,1
1201,"intelectual","intellectual",2.80,1.47,1.40,0.93,1.20,0.55,1.47,0.82,1.40,0.93,1
1202,"intensidad","intensity",2.73,1.23,1.63,0.85,1.43,0.86,2.17,0.95,1.40,0.93,1
1203,"interés","interest",2.83,1.37,1.43,0.86,1.30,0.75,1.33,0.76,1.33,0.80,1
1204,"interrupción","interruption",1.17,0.53,2.60,1.16,1.70,0.92,1.67,0.99,1.57,0.94,1
1205,"íntimo","intimate",3.23,1.25,1.07,0.37,1.53,0.90,1.73,1.14,1.23,0.43,1
1206,"intruso","intruder",1.03,0.18,2.47,1.50,1.47,0.94,3.60,1.22,1.50,0.82,1
1207,"inundación","flood",1.23,0.57,2.50,1.46,3.67,1.27,3.50,1.33,1.50,0.86,1
1208,"inútil","useless",1.27,0.83,2.53,1.38,2.90,1.42,1.87,1.48,2.00,1.39,1
1209,"inválido","invalid",1.17,0.75,1.90,1.45,3.83,1.02,2.43,1.57,1.43,0.90,1
1210,"invasión","invasion",1.17,0.46,3.43,1.07,2.77,1.30,3.53,1.07,2.30,1.15,1
1211,"invasor","invader",1.03,0.18,2.90,1.49,2.10,1.30,3.40,1.16,1.80,1.37,1
1212,"invernadero","emissions",2.10,1.35,1.07,0.25,1.37,0.85,1.47,0.97,1.13,0.43,1
1213,"invertir","invest",2.73,1.31,1.50,0.78,1.57,1.01,2.67,1.18,1.23,0.57,2
1214,"investigador","researcher",3.10,1.49,1.13,0.57,1.20,0.61,1.40,0.77,1.10,0.40,1
1215,"investigadora","researcher",2.83,1.56,1.13,0.35,1.20,0.48,1.50,0.86,1.20,0.48,1
1216,"invitación","treat",3.60,1.28,1.17,0.59,1.37,0.89,1.50,0.97,1.07,0.25,1
1217,"invitada","invited",3.27,1.28,1.17,0.46,1.40,0.77,1.57,0.82,1.13,0.43,1
